episode,timesteps,reward,red_car_escaped
0,85,640.0,1
1,604,-1309.0,1
2,661,713.0,1
3,703,833.0,1
4,1524,-3131.0,1
5,1875,-501.0,1
6,1950,675.0,1
7,2088,372.0,1
8,2228,360.0,1
9,2263,860.0,1
10,2519,-101.0,1
11,2579,735.0,1
12,2647,682.0,1
13,2692,820.0,1
14,4550,-6783.0,1
15,4562,948.0,1
16,4641,601.0,1
17,5243,-1547.0,1
18,5506,-123.0,1
19,5599,507.0,1
20,5652,762.0,1
21,5736,641.0,1
22,5901,225.0,1
23,5976,665.0,1
24,6037,674.0,1
25,6244,183.0,1
26,6245,994.0,1
27,6273,877.0,1
28,6322,821.0,1
29,6340,942.0,1
30,6424,576.0,1
31,6649,-55.0,1
32,7109,-1020.0,1
33,7118,961.0,1
34,7318,180.0,1
35,7319,994.0,1
36,7415,609.0,1
37,7454,836.0,1
38,7868,-824.0,1
39,7982,456.0,1
40,7983,994.0,1
41,7999,924.0,1
42,8025,884.0,1
43,8140,510.0,1
44,8385,-310.0,1
45,8840,-1175.0,1
46,8882,823.0,1
47,8896,936.0,1
48,8956,700.0,1
49,9011,740.0,1
50,9043,863.0,1
51,9115,683.0,1
52,9131,924.0,1
53,9151,905.0,1
54,9191,830.0,1
55,9343,358.0,1
56,9360,928.0,1
57,9435,695.0,1
58,9479,816.0,1
59,9618,411.0,1
60,9798,245.0,1
61,9860,748.0,1
62,9885,895.0,1
63,9995,540.0,1
64,10074,661.0,1
65,10113,856.0,1
66,10146,857.0,1
67,10293,358.0,1
68,10355,728.0,1
69,10392,848.0,1
70,10497,470.0,1
71,10515,932.0,1
72,10516,994.0,1
73,10601,665.0,1
74,10632,884.0,1
75,10636,986.0,1
76,10671,830.0,1
77,10705,861.0,1
78,10760,785.0,1
79,10795,840.0,1
80,10850,775.0,1
81,10948,592.0,1
82,10976,877.0,1
83,10977,994.0,1
84,11007,865.0,1
85,11042,845.0,1
86,11068,884.0,1
87,11100,898.0,1
88,11283,82.0,1
89,11321,837.0,1
90,11330,966.0,1
91,11331,994.0,1
92,11410,681.0,1
93,11551,339.0,1
94,11616,695.0,1
95,11661,805.0,1
96,11695,846.0,1
97,11747,803.0,1
98,11775,897.0,1
99,11800,880.0,1
100,11832,863.0,1
101,11866,831.0,1
102,11881,940.0,1
103,11895,941.0,1
104,11968,677.0,1
105,12037,711.0,1
106,12081,796.0,1
107,12090,961.0,1
108,12107,938.0,1
109,12355,7.0,1
110,12414,761.0,1
111,12502,632.0,1
112,12522,920.0,1
113,12605,597.0,1
114,12727,458.0,1
115,12731,991.0,1
116,12818,613.0,1
117,12862,816.0,1
118,12870,967.0,1
119,13250,-680.0,1
120,13285,850.0,1
121,13315,870.0,1
122,13316,994.0,1
123,13331,935.0,1
124,13342,959.0,1
125,13432,615.0,1
126,13645,32.0,1
127,13657,943.0,1
128,13658,994.0,1
129,13726,642.0,1
130,13846,515.0,1
131,13957,489.0,1
132,13980,887.0,1
133,14011,869.0,1
134,14112,579.0,1
135,14196,646.0,1
136,14244,732.0,1
137,14245,999.0,1
138,14272,883.0,1
139,14296,886.0,1
140,14297,999.0,1
141,14329,873.0,1
142,14330,999.0,1
143,14428,632.0,1
144,14497,656.0,1
145,14589,568.0,1
146,14647,762.0,1
147,14705,752.0,1
148,14750,760.0,1
149,14768,907.0,1
150,14833,665.0,1
151,14850,938.0,1
152,14864,941.0,1
153,14907,822.0,1
154,14928,919.0,1
155,14997,646.0,1
156,14998,999.0,1
157,15163,170.0,1
158,15164,999.0,1
159,15165,994.0,1
160,15205,815.0,1
161,15244,826.0,1
162,15259,935.0,1
163,15316,758.0,1
164,15355,816.0,1
165,15356,994.0,1
166,15380,886.0,1
167,15381,999.0,1
168,15582,-16.0,1
169,15588,979.0,1
170,15614,879.0,1
171,15615,994.0,1
172,15646,854.0,1
173,16099,-1048.0,1
174,16132,867.0,1
175,16146,946.0,1
176,16160,946.0,1
177,16204,826.0,1
178,16226,923.0,1
179,16227,994.0,1
180,16256,866.0,1
181,16277,914.0,1
182,16324,818.0,1
183,16349,875.0,1
184,16370,914.0,1
185,16501,324.0,1
186,16515,941.0,1
187,16528,952.0,1
188,16565,843.0,1
189,16573,972.0,1
190,16574,994.0,1
191,16624,780.0,1
192,16647,892.0,1
193,16732,610.0,1
194,16763,864.0,1
195,16779,939.0,1
196,16814,850.0,1
197,16869,725.0,1
198,16870,994.0,1
199,16881,949.0,1
200,16955,701.0,1
201,16964,956.0,1
202,17009,825.0,1
203,17010,994.0,1
204,17011,994.0,1
205,17035,896.0,1
206,17045,975.0,1
207,17084,826.0,1
208,17085,999.0,1
209,17096,959.0,1
210,17176,630.0,1
211,17190,941.0,1
212,17191,999.0,1
213,17262,639.0,1
214,17296,841.0,1
215,17336,790.0,1
216,17431,490.0,1
217,17457,889.0,1
218,17541,581.0,1
219,17564,892.0,1
220,17631,698.0,1
221,17658,893.0,1
222,17659,999.0,1
223,17726,703.0,1
224,17739,952.0,1
225,17740,994.0,1
226,17785,780.0,1
227,17786,994.0,1
228,17787,994.0,1
229,17788,994.0,1
230,17812,896.0,1
231,17840,872.0,1
232,17876,819.0,1
233,17961,615.0,1
234,17979,922.0,1
235,18069,620.0,1
236,18079,960.0,1
237,18131,748.0,1
238,18148,933.0,1
239,18159,949.0,1
240,18167,972.0,1
241,18179,948.0,1
242,18219,855.0,1
243,18285,719.0,1
244,18314,886.0,1
245,18384,660.0,1
246,18459,635.0,1
247,18479,900.0,1
248,18525,764.0,1
249,18600,670.0,1
250,18614,941.0,1
251,18637,902.0,1
252,18638,994.0,1
253,18661,882.0,1
254,18693,853.0,1
255,18694,999.0,1
256,18695,994.0,1
257,18696,994.0,1
258,18719,897.0,1
259,18752,852.0,1
260,18753,994.0,1
261,18793,820.0,1
262,18801,972.0,1
263,18964,182.0,1
264,19022,737.0,1
265,19039,928.0,1
266,19066,858.0,1
267,19067,994.0,1
268,19068,994.0,1
269,19115,798.0,1
270,19130,950.0,1
271,19189,696.0,1
272,19249,715.0,1
273,19250,994.0,1
274,19251,994.0,1
275,19252,994.0,1
276,19267,950.0,1
277,19268,994.0,1
278,19280,953.0,1
279,19376,524.0,1
280,19404,877.0,1
281,19506,558.0,1
282,19507,994.0,1
283,19508,999.0,1
284,19513,985.0,1
285,19514,994.0,1
286,19515,994.0,1
287,19516,994.0,1
288,19517,994.0,1
289,19546,851.0,1
290,19578,868.0,1
291,19579,994.0,1
292,19680,554.0,1
293,19702,893.0,1
294,19703,999.0,1
295,19734,884.0,1
296,19747,942.0,1
297,19779,858.0,1
298,19780,994.0,1
299,19822,813.0,1
300,19826,991.0,1
301,19846,900.0,1
302,19847,994.0,1
303,19890,787.0,1
304,19891,994.0,1
305,19892,994.0,1
306,19911,926.0,1
307,20009,542.0,1
308,20010,994.0,1
309,20013,992.0,1
310,20014,994.0,1
311,20075,689.0,1
312,20107,853.0,1
313,20151,821.0,1
314,20160,971.0,1
315,20161,994.0,1
316,20162,999.0,1
317,20227,685.0,1
318,20228,994.0,1
319,20282,746.0,1
320,20283,994.0,1
321,20295,953.0,1
322,20302,973.0,1
323,20303,994.0,1
324,20339,834.0,1
325,20397,757.0,1
326,20428,869.0,1
327,20463,845.0,1
328,20464,994.0,1
